AuthorId,PaperIds
1065029,1420003 1453098 1290707 1453278 352234 37441 1948512 970784 2137908 1842355 672574 632128 592440 2221735 790240 75664 242336 1473149 82825 2069023 1911430 1789205 133084 862888 33495 792436 535766 1915610 1110367 576724 1290267 609557 2213430 1818938 1784967 1342777 772526 559452 752180 600389 1395661 2214655 241444 1401831 1186215 914731 858467 1077759 1004053 1281400 748305 692363 2096633 1884682 1412741 834395 433718 1286499 119355 1400460 1185798 854288 2240991 2003995 1698569 1253019 888947 449612 1258494 1133639 1008942 469547 1750911 1331098 1796911 1540645 800130 608887 327219 2024679 2094206 1151121 1149209 797639 778416 766298 557590 508994 1817106 1795414 1586618 1263806 1173101 278040 2126312 2077664 1587654 340078 210024 1759952 1632033 1394409 1067655 694475 638235 1329344 1030176 368446 313000 245651 153679 88212 1136779 179609 1925975 2168151 935171 1982967 2136074 2158148 1221890 968162 1943344 30485 2141520 1726022
221258,1948464 1346273 2122904 1860792 1973231 323114
180300,1806971 385219 2164178 1996821 1303683 256869 615659 186588 160397 1690545 2080120 913395 1040933 1163815 1162083 523705 2230422 2169021 1279939 1073769 495937 1916069 1450456 339813 299371 1184601 1051385
1007696,1633656 695343 726779 219857 1609654 671756 953186 1130588 842196
1220693,1188169 1848682 1043881 453615 1438661 1045348 889329 329137 1594052 1317838 411179 2178560 1450269 1381094 1614068 604479
767332,1939405 1328021 1109069 249402 1188267 74035 239325 1796929 123896 1028321 638704 159290 105958 1966692 1004880 1771066 1731938 2132186 1778663 158170 470318 1012681 2149155 2080682 1446740 1260273 1055420 569636 1475404 1056226 162613 2252388 1789823 351170 248074 42777 143861 574710 273890 1787057 1757473 1304265 1896313 886478 714091 315764 1791765 720329 272503 1795960 1720285 586501 1242963 1189198 2038453 1593603 1255770 770427 136434 320505 109800 1911141 1798267 968247 766962 2113768 1114415 886836 1787093 1559207 730959 203062 1624248 1036568 2117906 798096 1378317 1967066 932584 486337 1279385 480330 2959 2125085 1082086 789719 2087647 1382590 1607343 751880 452851 2164865 1761382 997794 699625 572704 84302 779677 511969 1228907 2234960 1289185
573530,450211 2234359 317315 717119 834247 2159289 2153526 1734720 661177 493450 761704 1954009 834844 1211830 1559088 1186962 521802 509859 1903741 1466247 762111 377469 301512 575060 2000124 896154 829006 2201553 570832 459254
2220123,1972951 2059906 772316 615190 461985 2083987 2012624 1997544 1744978 1474737 1628290 1518379 1510738 1120433 1091722 1989144 432136 1279299 646830 1504390 339273 1057670 560239 397224 910269 415818 958143 846415 909454 584665 799566 196587 1276380 1892206 2257984 1631688 1080934 276196 1069676 1540536 1500273 662108 563436 1846339 2108387 1086952 1759150 2041018 1973439 1837393 337732 2198688 966219 816620 492051 217670 1871892 82139 1044658 723035 567194 323547 1116596 1662202 2248572 372808 297810 955729 255687 1007083 840119 1670277 1198103 1022833 1017386 1824386 1235965 1435058 881222 124204 2072786 262718 1301922 897807 1866168 1362791 1247839 313249 916096 436315 1064 1951220 711342 2197360 1895424 1155540 984807 481280 53740 475908 36776 2169839 1071778 187580 1527861 497908
507999,1293581 2084605 2037807 1487773 716744 666685 397729 221470 799230 210825 2110382 2101488 2101944 1230354 900546 1187656 845840 250678 236262 2158797 1843845 1803867 1317590 1188345 1047252 881596 742348 289276 138120 22083 2108266 2192451 1929778 569474 1851902 1194405 1516148 655684 172841 91168 980431 1955606 2140251 1752884 1751350 1605037 1143894 880745 855178 686188 1130766 181412 2179997 1513542 1867989 995515 782242 578706 2015154 736890 1309089 898718 7537 7347 2140842 1997919 1294110 215086 2013955 1205472 686847 2171584 1021488 521663 613497 948371 1139580 237987
1351778,1992493 755078 394465 1131 1963738 1921340 229163 1624715 806136 164605 2165480 2137325 947136 257476 68533 61261 1556603 1877665 1672590 1651982 1631341 1215277 1122652 937002 735375 500048 411500 267037 208849 145276 50908 1692343 767153 70053 46521 551072 1139522 1407882 143428 86358 822233 1566086 1966191 828606 2095878 1631455 552267 470522 354692 341486 201176 1844557 1604456 480631 80650 1655763 1510822 1415554 742275 2145895 263423 297012 80240 1839260 1616768 1009486 518889 342243 168893 1859591 411608 583005 339632 1820760 844291 291328 266634 1180594 1103645 1551542 1395062 208707 326725 2062467 2021863 1834744 1637905 688249 673093 126423 823339 197500 1881386 1879925 1529108 1392119 1008771 479202 13782 1848756 759503 372373 1478731 1443322 1122657 683721 2129922 2002766 1990352 1968145 1835429 1682197 1467803 1324777 1121682 1119277 702502 608575 569427 318175 296546 273634
950378,1130887 1927242 49244 1608845
57451,1869921 385955 1766217 746153 631315 2042411 478614
2023538,1502612 908841 587021 937309 602811 395528 278639 209064 1123172 1039653 425427 1764030 1040549 1379249 1502711 1337726 1236288 679069 564757 786978 268015 465995 925784 94740 514892 617588 38361 1696861 629814 1649720 1250151 1940053 126758 1551478 1181079 1022632 2254023 1736174 1927946 1457845 2002645 2006691 1738922 1016710 1645528 1432468 1723568 1661757 846947 262271 1365949 558294 362092 1380675 1984783 1435499 1648228 789300 958720 1103526 163496 1184230 816313
311411,1673350 151535 2044736 2006987 1109561 2255707
499829,2174787 2162317 2113953 2060291 1988896 1757579 1600014 1527356 1431408 1355332 1335304 1297732 1273602 1053877 989132 927283 798701 797189 748387 693782 623188 465243 394965 168833 107569 88561 1993283 330017 268552 1752995 1147590 278879 741579 1776542 1446462 1107195 845704 330558 1850659 1361623 1289885 1287394 819816 1900851 483144 1972734 1739741 1605619 1533314 1447104 1398996 1299551 1009140 1003025 462177 445487 117668 31072 1210756 291919 1088115 323299 38338 1803681 437378 143290 107882 1667951 2182867 229383 884715
524408,1756138 1211684 947608 1988563 1091259 1409734 2224927 755539 467630 2239107 2028354
1409149,244313 1536678 1502303 587291 1519118 2177745 560864 1740078
1835145,704901 32575 2192646 2192646 2193042 1430437 1051680 775520 1134874 1805533 1805533 1452078 114800 114800 2131940 869013 146815 1308261 734946 2254207 1489689 1222818 1065304 2001779 1923856 1235320 1144520 1184562 426791 835643 1757072 1757072 1743469 440762 205807 1814619 1814619 118173 773264 667462 68747 1316989 1819558 1166869 1521748 10965 2236498 1482820 1323817 382413 382413 1937056 1631655 1585628 2116398 2116398 1527992 966110 114916 1647211 1457664 307019 137901 137901 163946 1398341 1398341 2078967 1126987 1246233 1670208 1992425 792933 723968 114076 570609 1920111 1879114 1179733 1132839 1090513 1852458 1796916 1206872 1206872 999493 159655 1482550 1984141 1856065 428340 1104509 1024066 1024066 861636 1783236 511418 769104 769104 755399 2226216 2048082 1181166 452546 42928 15726 1271750 1826120 1784588 995596 995596 982520 845674 845674 532125 15546 15546 1726522 18622 1510223 1126777 676981 1968567 89141 780382 1217066 114569 114569 1770960 708150 1951401 1196481 657633 254212 1197125 528687
1769611,1532931 1194423 2241169 1155770 481600 316507 1909528 860509 695435 536982 2101081 1381649 402049 1717771 88898 1479133 911775 1621639 368269 1205337 285566 364017 1267479 840237 1734811 1001255 250681 170683
1294479,2253330 2248191 2227760 2140442 2075076 2064556 2025873 1952381 1854667 1849743 1802238 1725337 1695231 1655108 1448695 1385780 1367690 1301776 1270638 1262602 1239713 1193344 1192541 1170533 1156310 1099240 961532 898134 853585 665947 552529 544644 516174 457003 455200 421463 380863 279182 249243 104895 1608976 1316551 280525 1924069 1733582 201645 1820678 1764599 1526881 1290776 1268110 1012238 573053 483185 304146 196274 86165 38303 2144805 1797865 494041 1165760 1629538 1560179 1182449 242870 1704472 1053569 813456 1394205 1225997 272749 1457824 1280804 300862 2130630 1790641 1306530 665049 459139 350777 177227 125674 1528780 2015067 1699744 1070199 823926 297552 1840853 1532659 770033 129480 820043 517285 2149964 1819315 1019309 833612 134351 2246412 2104368 1670100 846080 809713 649538 1063639 563950 1875302 1081321 1736481 140699 2243863 1562314 204406 1615395 1338259 978222 672931 415462 362490 106327 1438344 1186 1378363 1367061 1055846 792238 391682 2039888 1836850 1575642 1548812 1497524 1416924 1357763 1020157 814843 277868 73932 295929 1611096 1428585 779208 1701134 938097 699573 2054276 2049141 1977993 1971958 1786297 1607014 746621 572798 266625 2102255 804801 914056 1766740 1232239 761744 2232245 1483577 1900590 1386091 794290 1955296 1379900 982334 1318169 707028 1235414 129343 156325 147294 1545134 184296 1212789 428907 1961237 1286276 1826741 1147113 1974280 838187 23527 1978637 1877429 2140750 480658 1754871 1931169 1800739 1467174 2070584 767196 627756 611552 2002865 261134 2040566 729995 2186934 1934282 1602995 970482 888447 1436990 1272683 956217
1663123,2094873 1955292 1803106 1802005 1566137 706882 1937145 496237 1473027 994290 484590 457835 210371 1993551 433573 295912 66360 862626 860861 606751 575592 975001 862973 1791061 346633 195141
1125657,2029372 1177190 645684 120940 2050428 1043735 1028415 353020 1778239 1226395 1684291 248633 1334728 1002499 57560 444841 698338 1488466 664693 2051528 1419128
2277532,984677 863989 435798 230692 1948212 157957 265000 167231 1610727 1234653 371147 1516860 2162555 1273931 839729 1447106 1987989 1458287 450751 1345059 2128037 1862753 1844786 1829870 1254499 751159 1216686 1211732 1806168 1682815 1320896 1076399 637509 21401 396033 44802 1615587 908251 883107 881610 1369706 926237 1833966 1773397 942897 951782 206819
1654947,1436872 1310173 1384158 1869096 1684578 671896 1047513 37079 1667872 739142 259282 1613843 892908 1246067 207329 1818464 1556894 1400869 99609 588069 243579 91841 1863136 2166791 1900906 1989387 528720 2055038 682857 1250460 1962709 764025 617381 597790 1018018 219574 2096231 2165776 624179 256725 34495 507561 361532 520830 1328805
721060,535045 1544438 895951 171363
24742,130342 1245729 368006 1781937 1878416 1212339 1983432 1913487 1479666 418161 1027260 51173 2096774 1208535 2169048 2089832 1913043 93774 554197 306589 1048305 2044666 721790 1401091 16442 415681 1252386 71659 2254334
770228,2231314 1531144 1466303 645003 23628 2026394 1770968 907048 1089482 1805396 258825 1779863 259780 1686159 658406 1989362 1959025 1507642 1493979 1480885 1253511 1024852 2203490 310460 763263 334806 1809478 1055473 108281 1039831 321644 1538874 1105275 329136 1129336
1286341,677786 2051442 1528465 810845 541939 2103430 1688818 797855 1964521 537663 2187533 1051564 959967 1030275 1000522 1485593 745679 1039569 18474 1899831 63461 1439945 1331116 1860658 1705430 1335056 1304850 708858 181720 1675263 224888 90725 1883608 182811 1435711 747621 1387054 606579 2236069 1473002 1315172 1307266 60007 1495858 443991 25047 712062 484623 229228 1386730 1848301 369606 315732 2078167 697180 302461 51532 1913935 2125509 1495352 133174 1538299 116244 1537874 1718631 161046 2064284 1524594 937421
1540296,2042560 411012 1957291 1294749 785131 601199 501909 393420 286535 130601 1748517 1308991 1009411 894823 402819 259801 2069840 1961862 1942889 1910041 1883944 1766207 1633309 1508428 881961 505147 237006 217028 1705676 1397330 1155938 897827 896163 864689 525343 479135 164380 2122872 1939463 1929437 1565400 1080008 689416 387563 50651 1695234 1460835 470791 52414 2008041 1817304 1663507 1537649 1373776 1171087 266756 1392521 357012 48181 2123843 1868363 1303675 1216122 1544347 20395 428156 711122 99696 2092342 1935700 1249440 939851 349039 288437 267790 1289822 259524 2241029 2223900 1976528 1075704 975376 890520 586757 548783 184482 1381181 1381181 788049 1470758 234133 1425692 1241766 1047818 659746 372449 312317 71959 170 744824 1548051 828934 1700857 1417877 1252841 1252841 1237809 1351477 435739 2015265 1349360 1545430 517012 2019654 2073187 1550048 519060 1314436 1129638 1951663 560357 288639 288639 1693874 1212814 409290 270862 2244703 1442395 888713 485822 1031628 132983 2099189 1406397 1384346 728280 1762764 1513083 1059250 165945 1742164 1742164 1672367 1606032 1606032 1277977 1019968 968868 968868 814924 883620 720416 489127 2152324 2152324 1755836 1184175 257846 57494 1877337 1866286 1866286 1716708 1615982 1132176 1015782 516775 408992 352444 224305 267484 1054980 1354055 1654920 1654920 1276513 661913 661913 1602504 1017533 279641 573759 996972 996972 198168 312849 856843 1900797 1846705 571152 841374 634473 2220646 1230984 261774 1763703 1569620 1215012 1100930 1650084 78730 1829983 1778040 2213916 1813634 652392 392898 306052 86725 734300 1300933 293578 153377 260087 260087 563251 7737 443288 2258220 2242698 2228386 2143581 2121752 2110263 2087943 2087943 2070181 2055059 2049166 2029685 1982774 1967520 1952715 1941833 1935094 1925741 1919392 1887303 1877505 1785374 1774674 1700024 1700024 1622261 1611767 1587370 1549786 1535010 1513156 1465567 1438850 1375215 1354943 1259355 1240908 1234986 1192118 1134839 1065105 1051912 1030471 1018244 980914 970186 965334 951878 922243 885599 822938 822938 817011 792656 792656 776602 773583 770696 755955 741549 628381 598688 575186 559921 557387 550545 542196 533921 525945 524536 521549 511837 511837 463497 422983 364161 328021 326794 316787 314305 309276 307746 278872 278872 270749 238809 202389 193053 168992 163952 163587 144677 125761 108824 54770 19520
2105546,2136378 1570681 2214179 1727732 1391331 1289229 1273302 1108935 63110 1029862 1921392 1731667 1010389 1004661 1485217 1148134 1211257 1157037 893379 82307 1987526 146637 2194906 1709908 1603258 1742668 1571410 10155 1957944 1821142 1584616 1010683 815586 1178607 1088798 732790 214776 903056 1678326 59023 483637
442581,2072892 648993 913092 2253068 2086125
1474777,1348536 1348536 1029855 1029855 1562114 1562114 854706 793677 786483 786483 389325 389325 2241774 2164252 2142414 1755879 988041 339876 1114026 1114026 2253196 2242221 1142613 805093 265674 78571 78571 690643 690643 1877794 1239303 1190049 1180127 980132 792548 574769 145940 66088 2251100 2164204 1950239 1834351 1601957 1320007 1281251 402398 345670 110326 950553 579238 1388891 591674 306889 46482 2146043 1749393 1535763 1462140 1442104 1429177 1346238 1274471 923077 507231 2174754 1606357 993500 290250 1807390 1807390 140181 140181 2060734 1128313 1128313 970189 970189 1693467 1126021 1007963 2047985 234787 1744522 1744522 1554176 1116920 784441 1685802 1206022 1758913 2224639 2224639 587928 587928 2110138 657801 1638024 1195327 732324 421932 2159416 1113946 705407 1658692 1108134 2043355 1779718 1884117 523439 1574660 1838935 1556394 1504222 362253 362253 1929991 1129481 1129481 1503599 1469831 1227021 730505 82613 1548940 723611 385419 1435574 925783 856336 125518 125518 2027151 2027151 1548649 1129740 174120 1152360 1689348 670141 93632 1671792 1671792 1494537 1494537 1420967 1420967 1338618 1338618 1933844 1933844 1909404 1909404 529927 529927 264789 2255356 2255356 57012 57012 1759610 1759610
852187,1462508 372865 1923125 2254158 1444660 840250 753918 1856445 1170294 1934318 1582805 1577798 1384225 957360 925480 726176 1398741 931868 630940 2139391 2085343 1351957 1194860 732100 478195 327203 2017474 1862838 1389890 1420616 70698 1961052 1831097 1720804 569238 901932 1323360 347847 1463098 536874 1279226 1501126
1286365,2221484 2079326 1967468 1839493 1403719 980163 840922 759716 697257 690003 611396 604563 386776 342477 257201 247917 211369 225105 2167680 1806611 1712018 849903 391914 226418 2183359 1925602 636241 2198781 1693786 1556360 1361731 1164234 1159134 804998 666887 450078 421845 879750 1776742 1049027 1731590 1058215 386809 1975884 1775142 1617788 1519948 1278586 1047049 871909 461933 153889 98105 2501 862162 2003025 1490314 543338 1583171 1316522 1045376 1385323 2172809 517217
1974497,1490097 886267
557284,1137168 621338 783907 1652301 1778545 1974512
1581288,2226514 608856 1197591 1797488 968623 1010921 172392
2097191,1769741 712822 137006 1741938 1006071 2028142 1156627 1156627 1156627 1529125 1285562 140911 140911 1852004 1852004 1665853 1665853 1665853 1022619
2202322,2010360 2021985 114948
1491192,2203236 2199131 1439351 1275013 1140401 625090 485359 12650 2087855 1865556 79388 1274882 1187771 38290 1155814 552820 2048796 1871131 1002551 791609 370215 226043 1904232 56512 1623652 1111763 989568 568614 1859015 2233042 2141583 2069191 1747381 1710482 1062114 682615 1963225 1410996 416921 93446 1082617 1214545 958286 1338882 1060787 785377 23454 2222013 1718178 1123753 880852 1370917 1090836 2125572 615504 1919570 1599387 534578 2088589 1524693 1688268 1000243 501626 528351 489497 2056931 1944211 76369 2243833 1276444 296261 190683 1570154 890845 411539 2069980 290667 2205143 1221002 96332 1875631 1448887 1242050 461235 1982499 812429 603181 1610670 779291 1700645 1554127 986900 944829 583857 281554 16832 1955720 1880105 1264125 984940 700139 319779 142351 1940569 2216257 2132805 1833058 1769914 1769914 1327560 1013142 1796686 356498 976993 51502 2179054
1384701,2258825 1097972 572902 413049 867811 1878885 438514 653012 2095920 1250638 582242 323842 1706535 1410459 1289493 943186 89826 2006645 345172 1090425 1487454 1346561 1272265 1580399 1367471 402429 799590 1459119 956459 1281966 889902 2243367 501279 164681 1016729 875311 208232 2256716 1860602 603597 1923428 2038938 2046461 1777105 1174442 710119 1471934 13295 1360112 707271 221543 803507 1486561 1903952 4401 2173266 1649636 691189 2105557 2077961 2064029 1628926 485751 1168121 2061813 7511 393065 910396 1681589 41015 604485 2190938 1093726 1504790 1065038 740485 597201 578375 1743365 432584 2201164 2169657 1378539 933544 367790 2072141 1187717 707406 576686 762859 61410 1830692 1677876 719973 545079 434676 210415 479537 1211464 1822148 1728749 1071314 350732 107909 976532 2112430 693250 660354 575169 1219984 112199 1704578 860936 508860 926077 462257 715406 1167689 1123533 514489 32821 1807004 1429911 721241 881869 337474 552137 1749765 354652 13713 1017474 1292332 282093 723812 453677 136699 684799
1990910,2089716 2074527 1842608 1711073 1547462 1497137 1477849 1462215 1456542 1378348 1294184 1193954 1184270 1165907 1105496 1095548 1081934 971627 892958 866282 803068 354665 249368 140044 114433 1929556 1860505 1294226 1075046 935723 899075 863453 565227 245447 105156 75604 2006133 166075 60684 856240 566260 1866504 1762233 536640 1360140 1970656 1249494 762602 1056578 109262 2050582 1205112 997225 1843832 798841 1000020 642428 626374 501445 1390813 901443 1398383 810698 797413 726020 1531668 1066683 980927 96728 2200958 1873196 2065554 1875875 1806392 1347395 1181318 1021561 909687 740234 509669 422224 325334 1341383 2144595 1941040 1495246 1323448 1016242 859628 718517 316258 299221 185483 165738 1528895 520791 220556 111413 1727113 1543774 1268230 1142944 1372799 825900 1732961 2241496 2147045 2113118 1467907 1273109 1122405 670927 470976 375027 1972612 1781190 416986 193307 36181 1425671 2579 1574285 1967342 1623659 495019 1149518 506117 467707 1638213 1311869 1248487 976140 636884 1624130 643357
524546,904178 859136 1838907 732702 49631 2214141 2089344 52863 1815235 972981 284837 423958
1958148,1946266 932870 891966 917031 639200 2057382 1232211 314009 2034761 1872596 1747307 2010399 1674654 1633587 1787730 1647989 412555 209642 256445 237141 552785 2140310 1842105 1523151 62814 1540224 974392 464297
1302801,2225685 2027013 1996726 1862272 1512186 1424305 1373773 1363463 1309354 1072526 1064172 991673 904291 822438 616027 533923 428706 419413 230935 135654 127535 79109 1500450 1079913 666788 640721 2123341 2113273 1346968 441474 154919
2130168,1888850 984569 443010 163512 106612 1266583 943532 240715 1915932 1497439 719736 615004 1993542 1441174 728690 219357 93479 781169 1524383 1858664 81710 1831414 1704176 1034026 849982 569950 1022800 1607509 479436 1447780 1232694 1198598 1005720 953821 285334 139686 739433 242285 121773 2174558 150272 1790833 1660559 1634898 1590485 1319321 1186727 1559820 56428 848843 2169824 1978419 1138319 444949 1962977 1382697 828721 1996186 1395804 711907 285489 1587691 1888672 1790365 1521919 1274487 656101 654093 496470 60144 3355 1882810 2158526 1576619 159962 2181993 860956 850321 2191561 1658803 229311 28295 977392 2019844 1346766 609701
327974,1442450 2212574 1517275 1263316 1208436 74267 1974033
